,Precision@k,Average Precision
0,0.9,0.5300521821923133
1,1.0,0.6291103784911015
2,1.0,0.6978010334180678
3,1.0,0.6814768296563084
4,1.0,0.6851942134402084
5,1.0,0.7169478000830563
6,0.8,0.4118268852809414
7,0.5,0.24851684507595084
8,0.2,0.1513006810076099
9,0.8,0.35795214859961183
10,0.4,0.46392220956984764
11,0.3,0.29229763589721386
12,0.4,0.3812452067516882
13,0.3,0.3415205146939619
14,0.6,0.5956250397826578
15,0.6,0.33385055629710564
16,1.0,0.6973878249054261
17,0.8,0.4147969429489579
18,0.8,0.5356566738879088
19,1.0,0.6961109088702119
20,1.0,0.7410546928150245
21,1.0,0.8116429891899972
22,1.0,0.7440236299010261
23,1.0,0.751737785840211
24,0.2,0.11599893592602331
25,0.6,0.6212053189490914
26,0.2,0.20570737073493506
27,0.6,0.6677423050417813
28,0.4,0.4749357700363784
29,0.4,0.5018377575489645
30,1.0,0.7965809194347401
31,0.9,0.7130992718798222
32,1.0,0.6901627697385735
33,1.0,0.8050467574636924
34,0.9,0.7025388810358356
35,0.7,1.0
36,0.7,1.0
37,0.7,1.0
38,0.7,1.0
39,0.7,1.0
40,0.3,0.1262527480013895
41,0.8,0.4024582952971051
42,0.5,0.17442275223659126
43,0.9,0.5053624303170566
44,0.3,0.20136086392717878
45,0.4,0.6282679738562091
46,0.6,1.0
47,0.6,0.9583333333333334
48,0.6,1.0
49,0.6,0.9761904761904762
50,1.0,0.7485668326112509
51,1.0,0.7855722610881272
52,1.0,0.7688247549776598
53,1.0,0.8121276128342003
54,1.0,0.7999782349903825
