,Precision@k,Average Precision
0,0.3,0.3213118700301195
1,0.6,0.31871336907019077
2,0.8,0.3897375515966926
3,1.0,0.6021751645999321
4,0.9,0.44453062094754314
5,0.5,0.35668623527188037
6,0.4,0.2063869791179305
7,0.1,0.07035325357736025
8,0.1,0.09986391705682282
9,0.2,0.1564477455097383
10,0.1,0.18149397554175473
11,0.4,0.2786457844981182
12,0.2,0.22487512514704702
13,0.4,0.2719044003103423
14,0.3,0.29666226432710635
15,0.1,0.12981675217221766
16,0.2,0.1360645116620221
17,0.6,0.265532907298666
18,0.3,0.19171348039711258
19,0.8,0.4211552263893341
20,0.9,0.4525524665608099
21,1.0,0.645416316710708
22,1.0,0.6039353372036854
23,0.5,0.25014656049748485
24,0.1,0.11232682772248072
25,0.3,0.3293061952424757
26,0.1,0.1621908441031202
27,0.2,0.26109858785884504
28,0.2,0.21603023491714668
29,0.3,0.2668301395585354
30,1.0,0.6637371247113931
31,1.0,0.6535649363732161
32,0.9,0.5046564350635887
33,0.8,0.5036516798832159
34,1.0,0.6364018780546506
35,0.7,1.0
36,0.7,1.0
37,0.7,1.0
38,0.7,1.0
39,0.7,1.0
40,0.2,0.09089349798211448
41,0.5,0.260887859411823
42,0.2,0.09601615605906197
43,1.0,0.5654562212830356
44,0.3,0.10385485790381772
45,0.1,0.186680883533796
46,0.2,0.34738677462106815
47,0.1,0.18010615461412602
48,0.2,0.3433505972299767
49,0.2,0.3635812159279838
50,1.0,0.6408414852813555
51,1.0,0.7091347885627506
52,1.0,0.6926231024942296
53,1.0,0.6722410215374781
54,1.0,0.6496398257002671
