,Precision@k,Average Precision
0,0.1,0.12875044405168948
1,0.9,0.7312703525976892
2,1.0,1.0
3,0.2,0.0989753017504791
4,1.0,0.8148557531073802
5,0.4,0.3236155245866718
6,0.0,0.020247319112208575
7,0.3,0.23254860458759616
8,0.3,0.315842890461363
9,1.0,0.9407315674807935
10,1.0,1.0
11,0.9,0.851499705016846
12,0.7,0.44564466608262654
13,1.0,0.8284594561338746
14,1.0,0.9552429667519183
15,0.6,0.4082352339971021
16,1.0,0.6443245095999943
17,1.0,0.9202158433466845
18,0.9,0.9542355371900826
19,1.0,0.9052673544795216
20,0.9,0.8500059376897612
21,1.0,1.0
22,1.0,0.8581904501462929
23,1.0,1.0
24,0.1,0.12345644052045349
25,0.0,0.00816938363377105
26,0.4,0.3581172710909705
27,0.6,0.6567674770539064
28,0.1,0.08435623666067364
29,0.1,0.11200899244125578
30,1.0,1.0
31,1.0,0.9829505135387488
32,1.0,0.9163592089728453
33,1.0,1.0
34,1.0,0.8915194653831017
35,0.0,0.01329168365554722
36,0.6,0.40261750736679425
37,1.0,1.0
38,0.3,0.28363027339474106
39,0.4,0.3481378782932128
40,0.0,0.014985578159539473
41,0.1,0.10397982549599871
42,1.0,0.8381984741027294
43,1.0,1.0
44,0.1,0.1311374294373602
45,0.9,0.781961281369675
46,0.4,0.24837890430463852
47,0.7,0.5101433258674931
48,1.0,1.0
49,1.0,1.0
50,1.0,0.8734005762057587
51,0.9,0.7932610521596133
52,0.9,0.9567890442890442
53,1.0,1.0
54,1.0,0.931547619047619
55,0.3,0.3195193414344245
56,0.9,0.8443285437966288
57,0.7,0.5083044013506548
58,0.6,0.4525124225930033
59,0.7,0.5047710893262533
60,0.4,0.37034146466931084
61,0.3,0.26179877052347794
62,1.0,0.8164917585970218
63,1.0,0.9493589743589743
64,0.3,0.22781207145613847
65,0.3,0.24282273575573846
66,0.0,0.011879016362443508
67,0.9,0.8862433862433863
68,1.0,0.9116878762999453
69,1.0,0.8742654591092568
70,0.3,0.24461697314456324
71,0.9,0.9290209790209792
72,0.4,0.247805949745108
73,0.3,0.17458786300291376
74,1.0,0.868412892222416
75,0.9,0.7730405363899946
76,0.4,0.2629323991845943
77,0.0,0.013582432829661198
78,0.8,0.6960393399233639
79,0.0,0.015969612260418372
80,0.5,0.3600538317187067
81,0.7,0.5101470150585546
82,1.0,0.9924242424242423
83,0.4,0.3203896988350162
84,0.7,0.6938672324516244
85,1.0,0.8872089743991476
86,1.0,0.9555444748749703
87,0.3,0.19772625308809236
88,1.0,0.868283440697234
89,0.1,0.07465785886381186
90,0.6,0.44992600323529214
91,0.6,0.47995833798737497
92,1.0,0.9520408163265307
93,1.0,1.0
94,1.0,0.9734258286647992
95,1.0,1.0
96,0.3,0.17531854407142447
97,1.0,0.9387936610608021
98,1.0,0.9443535188216039
99,1.0,0.9695730363151177
100,1.0,1.0
101,0.7,0.6730077330077331
102,0.3,0.26853704567669695
103,0.9,0.7971979860524752
104,0.7,0.6298789770999952
105,1.0,0.9453365051045695
106,0.9,0.9316525579683476
107,0.1,0.07410395671373177
108,1.0,0.828705109950957
109,0.9,0.7475794319410516
110,0.4,0.37046774959985024
111,0.0,0.012276548785616757
112,0.8,0.9263085453633054
113,1.0,0.975
114,0.3,0.1273771169785219
115,0.0,0.049835560570627276
116,1.0,0.9301005747126436
117,0.7,0.5102779728825799
118,0.6,0.39451910310504035
119,1.0,0.9297301771229929
120,0.4,0.2825613709306163
121,0.8,0.5032658780508332
122,0.6,0.5342568017128589
123,0.7,0.5100367381004783
124,0.7,0.5725528416602031
125,0.9,0.8173514105683224
126,0.0,0.016645978065413843
127,0.6,0.6252993537594986
